newcomb_species_name,species_page,species_inat,subspecies_inat,suggested_species_id,species_inat_link,subspecies_inat_link,multiple_species,multiple_subspecies,warning_species_extraction
Cypripedium calceolus var. parviflorum,38.0,Cypripedium parviflorum,var. makasin,Cypripedium parviflorum,https://www.inaturalist.org/taxa/50713-Cypripedium-parviflorum,,0.0,1.0,0.0
Cypripedium calceolus var. pubescens,38.0,Cypripedium parviflorum,var. parviflorum,,https://www.inaturalist.org/taxa/50713-Cypripedium-parviflorum,,0.0,1.0,0.0
Cypripedium calceolus var. pubescens,38.0,Cypripedium parviflorum,var. pubescens,,https://www.inaturalist.org/taxa/50713-Cypripedium-parviflorum,,0.0,1.0,0.0
Dalibarda repens,182.0,Rubus repens,,Rubus repens,https://www.inaturalist.org/taxa/130751,,0.0,0.0,0.0
Dentaria diphylla,162.0,Cardamine diphylla,,Cardamine diphylla,https://www.inaturalist.org/taxa/118512,,0.0,0.0,0.0
Dentaria heterophylla,162.0,Cardamine angustata,,Cardamine angustata,https://www.inaturalist.org/taxa/127680,,0.0,0.0,0.0
Dentaria laciniata,162.0,Cardamine concatenata,,Cardamine concatenata,https://www.inaturalist.org/taxa/60438,,0.0,0.0,0.0
Dentaria maxima,150.0,Cardamine maxima,,Cardamine maxima,https://www.inaturalist.org/taxa/116347,,0.0,0.0,0.0
Dentaria multifida,162.0,Cardamine dissecta,,Cardamine dissecta,https://www.inaturalist.org/taxa/129623,,0.0,0.0,0.0
Desmodium glutinosum,102.0,Hylodesmum glutinosum,,Hylodesmum glutinosum,https://www.inaturalist.org/taxa/204156,,0.0,0.0,0.0
Desmodium nudiflorum,36.0,Hylodesmum nudiflorum,,Hylodesmum nudiflorum,https://www.inaturalist.org/taxa/204173,,0.0,0.0,0.0
Diodia teres,158.0,Hexasepalum teres,var.teres,Hexasepalum teres,https://www.inaturalist.org/taxa/787459,https://www.inaturalist.org/taxa/947153,0.0,0.0,0.0
Diodia teres,158.0,Dipsacus sativus,,,,,0.0,0.0,0.0
Dipsacus sylvestris,160.0,Dipsacus fullonum,,Dipsacus fullonum,https://www.inaturalist.org/taxa/56002,,0.0,0.0,0.0
Disporum lanuginosum,340.0,Prosartes lanuginosa,,Prosartes lanuginosa,https://www.inaturalist.org/taxa/68913,,0.0,0.0,0.0
Dodecatheon amethystinum,174.0,Primula fassettii,,Primula fassettii,https://www.inaturalist.org/taxa/549995,,0.0,0.0,0.0
Dodecatheon meadia,174.0,Primula meadia,,Primula meadia,https://www.inaturalist.org/taxa/549981,,0.0,0.0,0.0
Duchesnea indica,240.0,Potentilla indica,,Potentilla indica,https://www.inaturalist.org/taxa/243824,,0.0,0.0,0.0
Epilobium angustifolium,130.0,Chamaenerion angustifolium,,Chamaenerion angustifolium,https://www.inaturalist.org/taxa/564969,,0.0,0.0,0.0
Epilobium strictum,156.0,Epilobium strictum,,Epilobium densum,https://www.inaturalist.org/taxa/162368,,0.0,0.0,0.0
Epilobium glandulosum,160.0,Epilobium ciliatum,ssp. ciliatum,,,,0.0,0.0,0.0
Epilobium glandulosum,160.0,Epilobium ciliatum,ssp. glandulosum,,https://www.inaturalist.org/taxa/1319405,https://www.inaturalist.org/taxa/1319405,0.0,0.0,0.0
Erechtites hieracifolia,418.0,Erechtites hieraciifolius,,Erechtites hieraciifolius,https://www.inaturalist.org/taxa/130888,,0.0,0.0,0.0
